Sample Name	Compound	Concentration	S9 mix	Compound Abbreviation 	Group
MSM0.104	Formaldehyde	120 uM	No	Formaldehyde	Aldehydes
MSM0.105	Acetaldehyde	12 mM	No	Acetaldehyde	Aldehydes
MSM0.23	Acetaldehyde	0.9 mM	No	Acetaldehyde	Aldehydes
MSM0.34	Formaldehyde	85.5 uM	No	Formaldehyde	Aldehydes
MSM0.108	N-methyl-N'-nitro-nitrosoguanidine	0.75 uM	No	MNNG	Alkylating Agent
MSM0.110	"1,2-dimethylhydrazine"	11.6 mM	Yes	"1,2-dimethylhydrazine"	Alkylating Agent
MSM0.22	N-Methyl-N-nitrosourea	350 uM	No	MNU	Alkylating Agent
MSM0.24	N-Ethyl-N-nitrosourea	400 uM	No	ENU	Alkylating Agent
MSM0.47	Methyl methanesulfonate	100 uM	No	MMS	Alkylating Agent
MSM0.67	Diethyl sulfate	0.938 mM	No	DES	Alkylating Agent
MSM0.68	Dimethyl sulfate	0.078 mM	No	DMS	Alkylating Agent
MSM0.99	"1,2-dimethylhydrazine"	9 mM	No	"1,2-dimethylhydrazine"	Alkylating Agent
MSM0.100	"2,6-dimethylaniline"	3.8 mM	No	"2,6-DMA"	Aromatic Amine
MSM0.107	"2,6-dimethylaniline"	11 mM	Yes	"2,6-DMA"	Aromatic Amine
MSM0.111	Benzidine	200 uM	No	BZD	Aromatic Amine
MSM0.112	Benzidine	900 uM	Yes	BZD	Aromatic Amine
MSM0.113	2-Naphthylamine	400 uM	Yes	2-NA	Aromatic Amine
MSM0.114	2-Naphthylamine	200 uM	Yes	2-NA	Aromatic Amine
MSM0.115	"4,4'-Methylene(2-chloroaniline)"	5 uM	No	MOCA	Aromatic Amine
MSM0.116	"4,4'-Methylene(2-chloroaniline)"	37.5 uM	Yes	MOCA	Aromatic Amine
MSM0.121	2-Naphthylamine	200 uM	No	2-NA	Aromatic Amine
MSM0.126	4-aminobiphenyl	300 uM	Yes	4-ABP	Aromatic Amine
MSM0.43	4-Aminobiphenyl	40 uM	Yes	4-ABP	Aromatic Amine
MSM0.60	o-Anisidine	0.85 mM	No	o-anisidine	Aromatic Amine
